Barcode,Nama Item,Subkategori,Harga,price2,pcs2,price3,pcs3,Link,Thumbnail
8997223770662,MARINDO ASSORTED BISC 600G,Cemilan & Biskuit,46500,139200,3,277200,6,https://images.tokopedia.net/img/cache/700/hDjmkQ/2023/5/19/53c63044-7af0-44bc-9330-9ae81481a54d.jpg,
8997223771140,MARINDO BLACK COOKIES CHO 400G,Cemilan & Biskuit,26000,77700,3,154200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/12/29/8817c100-ad98-414e-be8e-30ffdf5c6101.jpg,
8997223770587,MARINDO BLACK COOKIES VAN 400G,Cemilan & Biskuit,26900,80400,3,160200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/12/29/8817c100-ad98-414e-be8e-30ffdf5c6101.jpg,
8997223770570,MARINDO COCONUT COOKIES 400G,Cemilan & Biskuit,26500,79200,3,157200,6,https://down-id.img.susercontent.com/file/id-11134207-7qul1-liwglx29yrqlc6,
8997223771058,MARINDO MACHO SANDWICH 400G,Cemilan & Biskuit,21800,65100,3,129600,6,https://down-id.img.susercontent.com/file/id-11134201-7qul4-lewdqb8ekx7l3c,
8997223770594,MARINDO PEANUT COOKIES 400G,Cemilan & Biskuit,26700,79800,3,158400,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/12/29/f1c766ba-141e-43a4-a908-593c89438aa3.jpg,
8997223770600,MARINDO VANILLA COOKIES 400G,Cemilan & Biskuit,26500,79200,3,157200,6,https://down-id.img.susercontent.com/file/e428d3b890d0990a67f3fc213601fae2,
8998888110114,MARJAN COCO PANDAN 460ML,Minuman Ringan,23800,23800,1,23800,1,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/12/27/c5836aef-fdc4-4753-9ba9-9ccdfea1b3ec.jpg,
8998888110213,MARJAN MELON 460ML,Minuman Ringan,23500,23500,1,23500,1,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//96/MTA-2568363/marjan_marjan-melon-syrup--460-ml-_full02.jpg,
8998888170521,MARJAN SQUASH NANAS,Minuman Ringan,12500,148800,12,148800,12,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/5af9a793-9674-44ac-bdcc-5e3ecd6ab0a8.jpg,
8998888170910,MARJAN SQUASH ORANGE,Minuman Ringan,14500,133200,12,133200,12,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/dff63be6-0dc6-4ff2-912d-f675016ad67f.jpg,
8997208740604,MERRYCO WFR CHOCO STW 350G,Cemilan & Biskuit,28500,85200,3,169200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/3/12/10b50dac-60b0-4555-a961-565de8ddee98.jpg,
8997208740611,MERRYCO WFR CHOCO VNL 350G,Cemilan & Biskuit,28500,85200,3,169200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/2/16/8874d8fd-4b88-4991-8807-23beeea694bb.jpg,
8997208740321,MERRYCO WFR STRAW 350G,Cemilan & Biskuit,28500,85200,3,169200,6,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/c1c1b557-9c52-40d2-8aca-15e0ba90cb7a.jpg,
8997242860061,MIX 1 COCHO CP JAR 200G,Cemilan & Biskuit,19700,58800,3,116400,6,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/8/13/1851b02b-f723-43eb-883e-53f27395a876.jpg,
8888166989559,MONDE BUTTER COOKIES 454G,Cemilan & Biskuit,73500,73500,1,73500,1,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/1/14/bb1d80af-0638-4712-97b5-58aa863c99c0.jpg,
8888166989566,MONDE BUTTER COOKIES 908G,Cemilan & Biskuit,137500,411000,3,819000,6,https://laz-img-sg.alicdn.com/p/2a2c3a949d45be64b52123dd029e51c0.jpg,
8888166989658,MONDE FAVOURITE 575G,Cemilan & Biskuit,94900,94900,1,94900,1,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/31e6da0f-6a09-4cbb-8020-abc0796bf728.jpg,
8888166989665,MONDE HARMONY 850G,Cemilan & Biskuit,107500,107500,1,107500,1,https://allofresh.id/media/catalog/product/cache/fb82878314ebdeb4be369a6c3c22b713/b/r/brc-8888166989665-1.jpg,
8888166989931,MONDE PIE SELECTION 800G,Cemilan & Biskuit,115900,115900,1,115900,1,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/f5a4d07a-e344-4826-b091-dc662e6e12da.jpg,
8888166989580,MONDE PIN PIN B COOKIES 325G,Cemilan & Biskuit,50500,151200,3,301800,6,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/3/11/2e8a0875-7fc2-4c77-8cf9-609131e66bd0.jpg,
8888166989597,MONDE PIN PIN B COOKIES 650G,Cemilan & Biskuit,78500,235200,3,469200,6,https://allofresh.id/media/catalog/product/cache/fb82878314ebdeb4be369a6c3c22b713/b/r/brc-8888166989597-1.jpg,
8888166989740,MONDE SELECTED GOLD 800G,Cemilan & Biskuit,57900,173400,3,346200,6,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/2ef77557-bb1f-473c-8ae1-ef9de8dc037b.jpg,
8888166992160,MONDE TOP SELECTED 450G,Cemilan & Biskuit,45900,137400,3,273600,6,https://allofresh.id/media/catalog/product/cache/fb82878314ebdeb4be369a6c3c22b713/b/r/brc-8888166992160-1.jpg,
8993175560320,NABATI BIG ROLLS TIN 191G,Cemilan & Biskuit,22900,22900,1,22900,1,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/e25f2539-0311-407e-831c-32b746521a20.jpg,
8993175535250,NABATI RICHE WFR 287G,Cemilan & Biskuit,25500,152400,6,152400,6,https://allofresh.id/media/catalog/product/cache/6151a33a02c2f3881cb02a785f0fe387/b/r/brc-8993175535250-2.jpg?1727391889,
8993175537810,NABATI RICHO WFR 287G,Cemilan & Biskuit,20500,20500,1,20500,1,https://assets.klikindomaret.com/share/20053745_1.jpg,
8993175558822,NABATI WFR GOGUMA TIN 287G,Cemilan & Biskuit,26900,80400,3,160200,6,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/112/MTA-157883907/nabati_nabati-wafer-korean-goguma-tin-287-gr_full01.jpg,
8993175544955,NABATI WFR PINK LAVA 287G,Cemilan & Biskuit,26900,80400,3,160200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/2/26/1c9a6625-c0e9-4bf7-ada7-abb0e2b46142.jpg,
8993175540414,NABATI WFR WHITE 287G,Cemilan & Biskuit,26900,80400,3,160200,6,https://assets.klikindomaret.com/share/20074000_1.jpg,
8993175540261,NEXTAR NASTAR 171G,Cemilan & Biskuit,21500,21500,1,21500,1,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/2ddbc695-2ff1-4355-b5e9-f4ea4e523713.jpg,
8993175558457,NEXTAR NOIR COKLAT TIN 105G,Cemilan & Biskuit,21100,21100,1,21100,1,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/a6811a14-a181-4a15-b3d0-8a9d076800e8.jpg,
8994297103150,NIKISARI COCOPANDAN 450ML,Minuman Ringan,18700,111600,6,222000,12,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/12/6/791d01ee-9b20-44f4-be71-958fd503fa98.jpg,
8994297102955,NIKISARI FRAMBOZ 625ML,Minuman Ringan,20700,20700,1,20700,1,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/4/3/6d700932-4065-4d9f-a6ba-54995533040a.jpg,
8994297101446,NIKISARI FRAMBOZEN 625ML,Minuman Ringan,21600,129000,6,129000,6,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/4/3/6d700932-4065-4d9f-a6ba-54995533040a.jpg,
8994297103044,NIKISARI MANGGA 625ML,Minuman Ringan,20900,124800,6,248400,12,https://images.tokopedia.net/img/cache/700/VqbcmM/2024/7/19/03c24e61-f473-49bd-a596-5a3e3ae54fc2.jpg,
8994297102962,NIKISARI MELON 625ML,Minuman Ringan,20900,124800,6,248400,12,https://down-id.img.susercontent.com/file/id-11134207-7r98s-lria93i0s55z5c,
8888166336988,NISSIN ASTD BISKT YLLW 700G,Cemilan & Biskuit,51500,154200,3,307200,6,https://images.tokopedia.net/img/cache/700/product-1/2018/12/22/44281989/44281989_3351c94d-e4fc-4274-b1e4-dc9e784104df_300_300.jpg,
8888166350779,NISSIN BISKUIT KERING 450G,Cemilan & Biskuit,27700,82800,3,164400,6,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/30dc0636-d475-452e-9136-cd3a34ad9d24.jpg,
8888166996458,NISSIN BISKUIT KLP IJO 350G,Cemilan & Biskuit,22900,22900,1,22900,1,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/3/11/353d2fb2-e3c6-4b19-90a3-a7af51cbf878.jpg,
8888166995192,NISSIN EGG ROLL COFFEE 300G,Cemilan & Biskuit,43500,130200,3,259800,6,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//109/MTA-95690196/nissin_nissin_egg_roll_coffe_kotak_300_gr_full01_6d395f23.jpg,
8888166994294,NISSIN EGG ROLL ORI TIN 300G,Cemilan & Biskuit,46500,139200,3,277200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/6/23/bf7d7172-8858-415d-b07c-69d274e20baf.jpg,
8888166360204,NISSIN GOLDEN WFR 300G,Cemilan & Biskuit,23900,71400,3,142200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2022/3/15/f8143275-df53-4046-8fe7-edf6306726b9.jpg,
8888166336940,NISSIN LEMONIA LEMON 700G,Cemilan & Biskuit,47600,142500,3,283800,6,https://kpri.princetech.id/web/image/product.template/22811/image_1024?unique=2b45650,
8994251001713,NISSIN SOKLAT 315G,Cemilan & Biskuit,22900,22900,1,22900,1,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/104/MTA-159463742/brd-44261_nissin-soklat-krim-biskuit-kemasan-ember-315-gr-nissin-soklat-krim_full01-71e20095.jpg,
8888166350847,NISSIN WAFFLE DELUX 300G,Cemilan & Biskuit,27500,82200,3,163200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2024/2/12/41953dd0-86bd-42f2-b09b-c1d5d60d719d.png,
8888166350717,NISSIN WALLENS AST YELLOW 600G,Cemilan & Biskuit,39500,118200,3,235800,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/1/7/fc5f15aa-3475-4f40-9c12-2dfd831ea680.jpg,
8888166993655,NISSIN WFR CHOCO 180G,Cemilan & Biskuit,22500,134400,6,266400,12,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/3/21/25013bce-96a3-473a-9cb0-85ee59b8c92e.jpg,
8888166337039,NISSIN WFR CHOCO 600G,Cemilan & Biskuit,46900,140400,3,280200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2020/5/16/5ecc48a8-ffb4-4eb1-9cfc-501408ada732.png,
8888166995321,NISSIN WFR SPC EDITION 267G,Cemilan & Biskuit,24900,148800,6,148800,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2024/2/28/3b506a78-3011-447a-991e-737d2dc66404.jpg,
8993039243246,REGAL SELECTION 345G,Cemilan & Biskuit,28900,28900,1,28900,1,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/91ae686a-16ed-49e7-8a63-36f28fb11c93.jpg,
8997220611166,REGARO POTATO BALADO,Cemilan & Biskuit,16500,16500,1,16500,1,https://down-id.img.susercontent.com/file/31e54dd4dced4b9ddc4565c5bc45082c,
8997210380188,RICHWELL ASST COOKIES 400G,Cemilan & Biskuit,24900,74400,3,148200,6,https://www.meatup.shop/cdn/shop/products/RichwellAssortedCookies_400G_700x.jpg?v=1678086441,
8997210380195,RICHWELL CHOCO COOKIES 400G,Cemilan & Biskuit,24900,74400,3,148200,6,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/91/MTA-157440321/richwell_richwell-cookies-chocolate-tin-400-gr_full01.jpg,
8993083933797,RING YUANI WFR COKLAT 300G,Cemilan & Biskuit,20500,61200,3,121200,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/4/4/157e5e74-cfce-4775-b950-3ee465780148.jpg,
8993083933780,RING YUANI WFR KEJU 300G,Cemilan & Biskuit,21500,64200,3,127800,6,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/45625775-5046-4a69-8a46-3b21dea15c17.jpg,
8992952925475,ROCKY XXX TRA WFR STICK 620G,Cemilan & Biskuit,31500,94200,3,187200,6,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/f98ce9a8-887c-4136-95de-fc42ce7aea7c.jpg,
8886001012080,ROMA BISKUIT KLP TIN 345G,Cemilan & Biskuit,33900,33900,1,33900,1,https://allofresh.id/media/catalog/product/cache/fb82878314ebdeb4be369a6c3c22b713/b/r/brc-8886001012080-1_2.jpg,
8996001305744,ROMA FESTV TREAT 240G,Cemilan & Biskuit,39900,39900,1,39900,1,https://kliktobuy.com/wp-content/uploads/2023/03/roma-festive-treats-240-gr_8996001305744.jpg,
8996001301395,ROMA FESTV TREAT 765GR,Cemilan & Biskuit,57500,172200,3,343800,6,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/2/26/9ef26f21-a64f-4f8b-af2d-807a936c2590.jpg,
8996001357453,ROMA WAFELLO BTTR CRML 228G,Cemilan & Biskuit,17500,17500,1,17500,1,https://assets.klikindomaret.com/share/20119648_1.jpg,
8996001357255,ROMA WAFELLO BTTR CRML K287G,Cemilan & Biskuit,29500,29500,1,29500,1,https://kliktobuy.com/wp-content/uploads/2023/03/wafello-butter-caramel-klg-228_8996001357255.jpg,
8996001350867,ROMA WAFELLO CHOCO BLST 234G,Cemilan & Biskuit,29500,29500,1,29500,1,https://laz-img-sg.alicdn.com/p/7b9376c72ea4707c02795bc57634c99f.jpg,
8996001357460,ROMA WAFELLO CHOCO PCH 234G,Cemilan & Biskuit,18500,18500,1,18500,1,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/93/MTA-112934027/roma_roma-wafello-chocoblast-pouch-234gr_full01.jpg,
8996001357668,ROMA WAFELLO COCONUT 228G,Cemilan & Biskuit,18500,18500,1,18500,1,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/b37b6c8a-9bae-452e-8809-0f66dd22d1b0.jpg,
8997208740499,ROVANA BISC SNACK BBQ,Cemilan & Biskuit,24300,72600,3,144000,6,https://down-id.img.susercontent.com/file/id-11134207-7qul1-lf0kke31c290b2,
8997208740314,ROVANA BUTTER COCONUT 300G,Cemilan & Biskuit,21800,65000,3,129000,6,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/2/18/745a403a-da79-4f2e-9c85-8b9b6d9448ba.jpg,
8997208740017,ROVANA KUKIS BUTTER 350G,Cemilan & Biskuit,24500,73200,3,145800,6,https://larue.com.kh/image/cache/catalog/Prumden%20Store/8997208740017-500x500.jpg,
8997208740031,ROVANA KUKIS COKLAT 350G,Cemilan & Biskuit,24500,73200,3,145800,6,https://down-id.img.susercontent.com/file/74280638b596a2ac8dfc2c082e160a59,
8997208740024,ROVANA KUKIS KELAPA 350G,Cemilan & Biskuit,24700,73800,3,146400,6,https://down-id.img.susercontent.com/file/id-11134207-7r991-lr75ungjb26l54,
8997208740628,ROVANA MARIE SUSU 300G,Cemilan & Biskuit,21800,65000,3,129000,6,https://down-id.img.susercontent.com/file/id-11134207-23020-jup1e0uumhnv20,
8997208740178,ROVANA MINI ROLL 350G,Cemilan & Biskuit,21800,65000,3,129000,6,https://images.tokopedia.net/img/cache/700/hDjmkQ/2023/8/30/1c9f8214-c8c9-41c4-b78f-ab066fbdc592.jpg,
8886001012295,ROYAL CHOICE BTR COOK,Cemilan & Biskuit,59950,59950,1,59950,1,https://images.tokopedia.net/img/cache/700/hDjmkQ/2022/4/2/5261459e-f6d6-4b43-b907-7786470d2037.jpg,
8997007182148,SEALLEYS ASSTD COOKIES 185G,Cemilan & Biskuit,25300,75600,3,150000,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2024/2/13/e0100af5-1852-42ab-83ed-9e7b0b5a594d.jpg,
8994305102472,SELBISCO EGG ROLL,Cemilan & Biskuit,26900,80400,3,160200,6,https://arti-assets.sgp1.digitaloceanspaces.com/renyswalayanku/products/06c87cba-2d5d-4d08-911d-12c17f77fb37.jpg,
8888166337619,SERENA ASST FLOWERS 500G,Cemilan & Biskuit,43900,131400,3,261600,6,https://arti-assets.sgp1.digitaloceanspaces.com/megaswalayan/products/03cd7508-77f4-4a61-80fb-436eefec71a7.jpg,
8888166996106,SERENA EGG ROLL CHOCO 168G,Cemilan & Biskuit,23700,23700,1,23700,1,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/10/19/94b3805d-afa7-4c46-99d6-3311b1cb49f6.jpg,
